,cases,controls,case_samples,control_samples
0,0.8211036992116434,0.0,IC-2012_UCL_0026_Ovarian_Cancer,FE-0083_ABC00612_BuffyCoat
1,0.012542929670001495,0.0,IC-2012_UCL_0038_Ovarian_Cancer_benign,FE-0083_ABC_00132_BuffyCoat
2,0.9067164179104478,0.005087370050873701,IC-2012_UCL_0039_Ovarian_Cancer,FE-0083_ABC_00444_BuffyCoat
3,0.03787878787878788,0.06465517241379311,IC-2016_CU_OC01_Ovarian_Cancer,IC-2012_CU_BC01_BuffyCoat
4,0.5238853503184713,0.0,IC-2016_CU_OC03_Ovarian_Cancer,IC-2012_CU_BC06_BuffyCoat
5,0.13670133729569095,0.0,IC-2016_CU_OC04_Ovarian_Cancer,IC-2012_CU_BC07_BuffyCoat
6,0.08687028956763189,0.0,IC-2016_CU_OC05_Ovarian_Cancer,IC-2012_CU_BC10_BuffyCoat
7,0.2447058823529412,0.0,IC-2016_CU_OC06_Ovarian_Cancer,IC-2012_LMU_0284_BuffyCoat
8,0.5620689655172413,0.0,IC-2016_CU_OC09_Ovarian_Cancer,IC-2012_LMU_0320_BuffyCoat
9,0.3272837265577737,0.013550135501355014,IC-2016_CU_OC10_Ovarian_Cancer,IC-2012_UCL_0026_BuffyCoat
10,0.283444387493593,0.0,IC-2016_CU_OC11_Ovarian_Cancer,IC-2012_UCL_0038_BuffyCoat
11,0.0,0.0211864406779661,IC-2016_CU_OC13_Ovarian_Cancer,IC-2012_UCL_0039_BuffyCoat
12,,0.0,,IC-2016_CU_OC01_BuffyCoat
13,,0.0,,IC-2016_CU_OC02_BuffyCoat
14,,0.0,,IC-2016_CU_OC03_BuffyCoat
15,,0.0,,IC-2016_CU_OC04_BuffyCoat
16,,0.0,,IC-2016_CU_OC05_BuffyCoat
17,,0.0,,IC-2016_CU_OC06_BuffyCoat
18,,0.0,,IC-2016_CU_OC09_BuffyCoat
19,,0.0,,IC-2016_CU_OC10_BuffyCoat
20,,0.0,,IC-2016_CU_OC11_BuffyCoat
21,,0.0,,IC-2016_CU_OC13_BuffyCoat
