,cases,controls,case_samples,control_samples
0,0.0,0.0,JKLR,101086
1,0.0006195786864931845,0.0,FLAB,102801
2,0.001067948204512081,0.00010127607859023699,JGLR,100626
3,0.0,0.0,JFGH,101425
4,0.00296589223924864,0.0,GKHG,145355
5,0.0,0.0002748385323622372,JHPP,100296
6,0.0,0.00014183391248847606,WHPA,101599
7,0.002481389578163771,0.0,HKLP,106732
8,0.0,0.00016583747927031506,FQTR,106853
9,0.0,0.00020563438206868184,JUTM,109195
10,0.000400320256204964,0.0,TFLK,109286
11,0.0,0.0003838771593090212,JQRT,109336
12,0.0,0.0,WQHT,110164
13,0.003968253968253968,0.00016586498590147629,QWID,113493
14,0.0,0.0,QWER,114250
15,0.0003175611305176246,0.0,POIU,121203
16,0.0007662835249042145,0.0,ASDF,121274
17,0.00568678915135608,6.232859636000998e-05,GFUR,123154
18,0.001716001716001716,0.0,ZXCV,123874
19,0.001951854261548471,0.00016239038648911986,HJKL,124110
20,0.0011993283761093793,0.0002132196162046909,REWQ,127216
21,0.002051282051282051,0.0,SDFG,128141
22,0.0009749756256093597,0.00018032097132896554,XCVB,129125
23,0.0,0.0,JGIS,129499
24,0.00016545334215751164,0.0,WWZX,130752
25,0.0,0.0,KRUK,131004
26,,8.7070091423596e-05,,139606
27,,7.943442688061004e-05,,103971
28,,0.0,,101997
29,,0.0001527883880825057,,102073
30,,0.0,,106401
31,,0.0,,106136
32,,0.0,,109837
33,,0.0,,121624
34,,0.00013034410844629826,,102060
35,,0.0,,103782
36,,0.0,,114482
37,,0.0,,109604
38,,0.0,,101968
39,,0.0,,102919
40,,0.0,,100654
