,cases,controls,case_samples,control_samples
0,352.0,21.0,IC-2012_UCL_0026_Ovarian_Cancer,FE-0083_ABC00612_BuffyCoat
1,288.0,55.0,IC-2012_UCL_0038_Ovarian_Cancer_benign,FE-0083_ABC_00132_BuffyCoat
2,118.0,151.0,IC-2012_UCL_0039_Ovarian_Cancer,FE-0083_ABC_00444_BuffyCoat
3,6.0,143.0,IC-2016_CU_OC01_Ovarian_Cancer,IC-2012_CU_BC01_BuffyCoat
4,66.0,3.0,IC-2016_CU_OC03_Ovarian_Cancer,IC-2012_CU_BC06_BuffyCoat
5,37.0,36.0,IC-2016_CU_OC04_Ovarian_Cancer,IC-2012_CU_BC07_BuffyCoat
6,84.0,11.0,IC-2016_CU_OC05_Ovarian_Cancer,IC-2012_CU_BC10_BuffyCoat
7,127.0,96.0,IC-2016_CU_OC06_Ovarian_Cancer,IC-2012_LMU_0284_BuffyCoat
8,218.0,29.0,IC-2016_CU_OC09_Ovarian_Cancer,IC-2012_LMU_0320_BuffyCoat
9,107.0,22.0,IC-2016_CU_OC10_Ovarian_Cancer,IC-2012_UCL_0026_BuffyCoat
10,207.0,18.0,IC-2016_CU_OC11_Ovarian_Cancer,IC-2012_UCL_0038_BuffyCoat
11,81.0,7.0,IC-2016_CU_OC13_Ovarian_Cancer,IC-2012_UCL_0039_BuffyCoat
12,,4.0,,IC-2016_CU_OC01_BuffyCoat
13,,22.0,,IC-2016_CU_OC02_BuffyCoat
14,,142.0,,IC-2016_CU_OC03_BuffyCoat
15,,101.0,,IC-2016_CU_OC04_BuffyCoat
16,,28.0,,IC-2016_CU_OC05_BuffyCoat
17,,13.0,,IC-2016_CU_OC06_BuffyCoat
18,,47.0,,IC-2016_CU_OC09_BuffyCoat
19,,97.0,,IC-2016_CU_OC10_BuffyCoat
20,,17.0,,IC-2016_CU_OC11_BuffyCoat
21,,8.0,,IC-2016_CU_OC13_BuffyCoat
