,cases,controls,case_samples,control_samples
0,27.835051546391757,4.132231404958678,JKLR,101086
1,30.337078651685395,25.806451612903224,FLAB,102801
2,34.88372093023256,23.364485981308405,JGLR,100626
3,16.666666666666664,49.99999999999999,JFGH,101425
4,14.736842105263158,24.742268041237118,GKHG,145355
5,10.97560975609756,31.034482758620694,JHPP,100296
6,2.2988505747126435,24.271844660194173,WHPA,101599
7,48.38709677419355,13.740458015267176,HKLP,106732
8,118.18181818181819,27.272727272727273,FQTR,106853
9,9.523809523809524,14.17910447761194,JUTM,109195
10,14.084507042253522,81.81818181818181,TFLK,109286
11,30.0,11.016949152542374,JQRT,109336
12,77.77777777777777,15.57377049180328,WQHT,110164
13,70.27027027027027,19.587628865979383,QWID,113493
14,14.285714285714286,19.863013698630137,QWER,114250
15,23.61111111111111,16.93548387096774,POIU,121203
16,12.162162162162161,18.487394957983195,ASDF,121274
17,40.27777777777778,232.258064516129,GFUR,123154
18,32.00000000000001,12.598425196850394,ZXCV,123874
19,36.23188405797102,13.445378151260504,HJKL,124110
20,37.33333333333333,1266.6666666666667,REWQ,127216
21,16.883116883116884,22.22222222222222,SDFG,128141
22,28.169014084507047,2166.6666666666665,XCVB,129125
23,18.518518518518515,762.5,JGIS,129499
24,49.15254237288136,9.999999999999998,WWZX,130752
25,3.6363636363636362,260.0,KRUK,131004
26,,67.5,,139606
27,,127.77777777777777,,103971
28,,4.57516339869281,,101997
29,,40.21739130434783,,102073
30,,35.18518518518518,,106401
31,,6.122448979591836,,106136
32,,7.801418439716313,,109837
33,,33.333333333333336,,121624
34,,29.577464788732396,,102060
35,,10.619469026548675,,103782
36,,6.993006993006993,,114482
37,,216.66666666666666,,109604
38,,7.142857142857143,,101968
39,,7.199999999999999,,102919
40,,4.861111111111111,,100654
