,cases,controls,case_samples,control_samples
0,0.00028089887640449435,0.0,JKLR,101086
1,0.001239157372986369,0.00034125810487999097,FLAB,102801
2,0.0029368575624082226,0.00030382823577071097,JGLR,100626
3,0.0,0.0002852415996348907,JFGH,101425
4,0.003954522985664853,0.00010503098414032142,GKHG,145355
5,0.0013611615245009072,0.0008245155970867116,JHPP,100296
6,0.0,0.00014183391248847606,WHPA,101599
7,0.003970223325062033,0.0,HKLP,106732
8,0.0003863390511512905,0.0008291873963515754,FQTR,106853
9,0.0,0.0006169031462060456,JUTM,109195
10,0.001401120896717374,0.00024497795198432135,TFLK,109286
11,0.0009233610341643582,0.0007677543186180424,JQRT,109336
12,0.00010630381630700542,0.0002021018593371059,WQHT,110164
13,0.003968253968253968,0.0004975949577044289,QWID,113493
14,0.0013430029546065002,0.00022311468094600624,QWER,114250
15,0.0009526833915528739,0.0,POIU,121203
16,0.003831417624521072,0.00018556318426424202,ASDF,121274
17,0.010498687664041993,0.0006232859636000997,GFUR,123154
18,0.006435006435006436,0.0004971414367387521,ZXCV,123874
19,0.003903708523096942,0.00016239038648911986,HJKL,124110
20,0.00455744782921564,0.0008528784648187636,REWQ,127216
21,0.003589743589743589,0.0004977600796416128,SDFG,128141
22,0.005524861878453038,0.00030053495221494256,XCVB,129125
23,0.0,0.00011036309458117205,JGIS,129499
24,0.0031436135009927212,0.00033184005309440845,WWZX,130752
25,0.0,0.000311779011036977,KRUK,131004
26,,0.000957771005659556,,139606
27,,7.943442688061004e-05,,103971
28,,0.0,,101997
29,,0.0007639419404125284,,102073
30,,0.0010666666666666663,,106401
31,,0.000558659217877095,,106136
32,,0.0,,109837
33,,0.0012415750266051794,,121624
34,,0.00039103232533889475,,102060
35,,0.0,,103782
36,,0.0006455777921239511,,114482
37,,0.00024055809477988932,,109604
38,,0.003157894736842105,,101968
39,,0.00039370078740157485,,102919
40,,0.0,,100654
