,cases,controls,case_samples,control_samples
0,23.456790123456784,12.5,ASCS-P001,106133
1,30.864197530864196,78.57142857142857,DJNG-P001,102598
2,17.333333333333336,4.6875,VCTD-P001,102760
3,26.190476190476186,3.773584905660377,MUZP-P001,106126
4,21.186440677966104,50.00000000000001,ESCP-P001,100250
5,21.428571428571427,0.0,FOXX-P001,100442
6,36.36363636363636,50.0,FELD-P001,103197
7,4.166666666666667,1.9607843137254901,DUFF-P001,102795
8,80.0,46.875,ASCS-P002,100292
9,47.5,18.75,DJNG-P002,102126
10,80.0,16.666666666666668,VCTD-P002,100662
11,57.5,0.0,MUZP-P002,102199
12,30.0,,ESCP-P002,
13,22.5,,FOXX-P002,
14,67.5,,FELD-P002,
15,32.5,,DUFF-P002,
16,30.0,,ASCS-P003,
17,42.5,,DJNG-P003,
18,12.5,,VCTD-P003,
19,75.0,,MUZP-P003,
20,2.5,,ESCP-P003,
21,45.0,,FOXX-P003,
22,52.5,,FELD-P003,
23,27.5,,DUFF-P003,
