,cases,controls,case_samples,control_samples
0,0.0031055900621118006,0.0,ASCS-P001,106133
1,0.0014245014245014246,0.0,DJNG-P001,102598
2,0.011049723756906075,0.0,VCTD-P001,102760
3,0.0006666666666666666,0.0,MUZP-P001,106126
4,0.0,0.0,ESCP-P001,100250
5,0.0,0.0,FOXX-P001,100442
6,0.0,0.0,FELD-P001,103197
7,0.0,0.0,DUFF-P001,102795
8,0.004032258064516129,0.0,ASCS-P002,100292
9,0.00036443148688046647,0.0,DJNG-P002,102126
10,0.0,0.0,VCTD-P002,100662
11,0.0010582010582010583,0.0,MUZP-P002,102199
12,0.0,,ESCP-P002,
13,0.017241379310344827,,FOXX-P002,
14,0.0,,FELD-P002,
15,0.0,,DUFF-P002,
16,0.007194244604316547,,ASCS-P003,
17,0.0,,DJNG-P003,
18,0.0,,VCTD-P003,
19,0.0,,MUZP-P003,
20,0.0,,ESCP-P003,
21,0.0,,FOXX-P003,
22,0.0,,FELD-P003,
23,0.0,,DUFF-P003,
